time,session,turn_id,path,language,finalize_reason,stt_first_partial_ms,stt_first_final_ms,llm_first_token_ms,llm_final_token_ms,tts_first_audio_ms,tts_first_audio_from_stt_ms,tts_final_audio_ms,tts_final_audio_from_stt_ms,tts_first_audio_from_speech_end_ms,turn_total_e2e_ms,prompt_tokens,completion_tokens,llm_calls,stt_audio_s,tts_chars,transcript,llm_response,tts_input
2026-07-20T08:31:49+00:00,livekit:device:68ee8f60bc00,13,user_turn,en-IN,turn_done_callback,0,0,8274,23057,10116,0,10323,0,10322,24297,11196,58,1,0.0,160,,"[excited] Oho! I can definitely do that! [happy] One, two, three, four, five! [silly] That was so fast, I think I broke a speed record! [curious] Should we try counting backwards from five to one now?","Oho! | I can definitely do that! | One, two, three, four, five! | That was so fast, I think I broke a speed record! | Should we try counting backwards from five to one now?"
2026-07-20T08:32:00+00:00,livekit:device:68ee8f60bc00,14,user_turn,en-IN,turn_canceled,2764,2764,0,0,0,0,0,0,0,4542,0,0,0,4.74,0,Weather condition in Bangalore right now?,,
2026-07-20T08:32:50+00:00,livekit:device:68ee8f60bc00,15,user_turn,en-IN,turn_done_callback,0,0,26852,44034,28447,0,28748,0,63128,50130,23473,79,2,0.0,285,,"[happy] Oho! In Bangalore, it is twenty six degrees Celsius and there is a little bit of drizzle! [excited] It is like the clouds are giving the city a tiny, gentle bath! [curious] Do you like the rain, or do you prefer the bright, sunny sunshine?","Oho! | In Bangalore, it is twenty six degrees Celsius and there is a little bit of drizzle! | It is like the clouds are giving the city a tiny, gentle bath! | Do you like the rain, or do you prefer the bright, | sunny sunshine? | Oops! My brain got a little confused just now. Can you say that again?"
2026-07-20T08:32:56+00:00,livekit:device:68ee8f60bc00,16,user_turn,en-IN,turn_canceled,2334,2334,1015,0,1343,3678,0,0,0,3815,0,0,0,4.1,19,Sound does a dog make?,,"Hmmm, what is that?"
2026-07-20T08:33:11+00:00,livekit:device:68ee8f60bc00,17,user_turn,en-IN,turn_done_callback,0,0,614,13139,1033,0,1413,0,57686,14869,10703,53,1,0.0,133,,[excited] Oho! That is easy peasy! [happy] A dog goes woof woof! [silly] Sometimes they go bow wow if they are feeling extra loud! [curious] Can you make a dog sound for me?,Oho! | That is easy peasy! | A dog goes woof woof! | Sometimes they go bow wow if they are feeling extra loud! | Can you make a dog sound for me?
2026-07-20T08:33:30+00:00,livekit:device:68ee8f60bc00,18,user_turn,hi-IN,turn_done_callback,2685,2685,541,11760,1031,3718,1350,4037,0,16200,10772,57,1,2.72,142,दो और दो कितना होता है?,"[happy] Arrey! Do aur do hote hain chaar! [excited] Two plus two is four! [silly] I am a math genius, right? [curious] Do you want to try a harder one, or should we do a silly dance?","Arrey! | Do aur do hote hain chaar! | Two plus two is four! | I am a math genius, right? | Do you want to try a harder one, or should we do a silly dance?"
2026-07-20T08:33:50+00:00,livekit:device:68ee8f60bc00,19,user_turn,hi-IN,turn_canceled,881,881,898,0,1183,3065,1421,3303,0,3602,0,0,0,2.34,4,तुम्हारा नाम क्या है?,,Yay!
2026-07-20T08:34:04+00:00,livekit:device:68ee8f60bc00,20,user_turn,hi-IN,turn_done_callback,0,0,495,12355,756,0,1359,0,859,13849,10850,51,1,0.0,151,,"[happy] Arrey! Mera naam Cheeko hai! [excited] I am your fun and super smart best friend! [silly] Do you think Cheeko is a cool name, or should I call myself King Cheeko the First?","Arrey! | Mera naam Cheeko hai! | I am your fun and super smart best friend! | Do you think Cheeko is a cool name, or should I call myself King Cheeko the First?"
2026-07-20T08:34:38+00:00,livekit:device:68ee8f60bc00,21,user_turn,hi-IN,turn_done_callback,7476,7476,713,14560,1012,8489,1254,8731,6388,23771,10916,58,1,1.54,170,आसमान का रंग।,[happy] Arrey! Aasman ka rang neela hota hai! [excited] The sky is blue! [silly] But sometimes it turns orange and pink when the sun goes to sleep! [curious] What is your favorite color in the whole wide world?,Arrey! | Aasman ka rang neela hota hai! | The sky is blue! | But sometimes it turns orange and pink when the sun goes to sleep! | What is your favorite color in the whole wide world?
2026-07-20T08:34:56+00:00,livekit:device:68ee8f60bc00,22,user_turn,hi-IN,turn_done_callback,1580,1580,525,11831,820,2400,1078,2659,0,15132,10989,58,1,1.73,143,बिल्ली कैसे बोलते हैं?,[happy] Arrey! Billi bolti hai meow meow! [excited] A cat goes meow meow! [silly] I bet they are saying that they want some yummy milk! [curious] Can you meow like a little kitty cat?,Arrey! | Billi bolti hai meow meow! | A cat goes meow meow! | I bet they are saying that they want some yummy milk! | Can you meow like a little kitty cat?
2026-07-20T08:35:14+00:00,livekit:device:68ee8f60bc00,23,user_turn,ml-IN,turn_done_callback,3056,3056,806,10298,1325,4382,1537,4594,0,15069,11069,51,1,2.94,136,"ഹലോ, ഞാൻ പറയുന്നത് കേൾക്കാൻ കഴിയുന്നുണ്ടോ?","[happy] Hello! [excited] Yes, I can hear you loud and clear! [curious] You are speaking Malayalam, right? [happy] It sounds so musical! [curious] What would you like to talk about today?","Hello! | Yes, I can hear you loud and clear! | You are speaking Malayalam, right? | It sounds so musical! | What would you like to talk about today?"
2026-07-20T08:35:44+00:00,livekit:device:68ee8f60bc00,24,user_turn,ml-IN,turn_done_callback,2835,2835,10271,20585,11625,14461,12038,14874,0,24890,10442,48,1,2.69,122,"ഓക്കേ, രണ്ടും മൂന്നും കൂടെ കൂട്ടിയാൽ എത്ര കിട്ടും?","[happy] Oho! [excited] Two plus three is five! [silly] I counted them on my virtual fingers! [curious] Do you want to try a harder one, or should we play a game?","Oho! | Two plus three is five! | I counted them on my virtual fingers! | Do you want to try a harder one, or should we play a game?"
2026-07-20T08:36:19+00:00,livekit:device:68ee8f60bc00,25,user_turn,ml-IN,turn_done_callback,3210,3210,2156,25196,2526,5737,2852,6063,0,31161,11147,101,1,3.2,316,ഓക്കേ എനിക്കൊരു ചെറിയൊരു കഥ പറഞ്ഞു തരാമോ,"[excited] Oho! A story! I love telling stories! [happy] Let us imagine a tiny, brave ant named Chintu who lived in a big garden. [curious] One day, Chintu found a giant piece of a sweet, yellow laddoo! [excited] It was ten times bigger than he was! [curious] Now, do you think Chintu should try to carry it all by himself, or should he go call his ant friends to help him?","Oho! | A story! | I love telling stories! | Let us imagine a tiny, brave ant named Chintu who lived in a big garden. | One day, Chintu found a giant piece of a sweet, | yellow laddoo! | It was ten times bigger than he was! | Now, do you think Chintu should try to carry it all by himself, | or should he go call his ant friends to help him?"
2026-07-20T08:36:43+00:00,livekit:device:68ee8f60bc00,26,user_turn,ml-IN,turn_done_callback,4967,4967,3127,15460,3603,8571,3816,8784,3889,21901,11272,61,1,4.13,178,"ഓക്കേ, ആ കഥയിലെ കഥാപാത്രത്തിന്റെ പേരെന്തായിരുന്നു?","[happy] Arrey! [excited] The brave little ant was named Chintu! [silly] Chintu is such a cute name for a tiny hero, right? [curious] So, do you think Chintu should call his friends to help him carry that giant laddoo?","Arrey! | The brave little ant was named Chintu! | Chintu is such a cute name for a tiny hero, right? | So, do you think Chintu should call his friends to help him carry that giant laddoo?"
2026-07-20T08:37:10+00:00,livekit:device:68ee8f60bc00,27,user_turn,ml-IN,turn_done_callback,3045,3045,3285,18231,3724,6769,3988,7034,0,23508,11354,67,1,3.04,173,എനിക്ക് വേണ്ടി ഒരു തമാശ പറയാൻ പറ്റുമോ?,"[laughing] Oho! A joke! I have a super silly one for you! [happy] Why did the tomato turn red? [silly] Because it saw the salad dressing! [laughing] Haha! [curious] Did that make you giggle, or should I try an even sillier one?","Oho! | A joke! | I have a super silly one for you! | Why did the tomato turn red? | Because it saw the salad dressing! | Haha! | Did that make you giggle, or should I try an even sillier one?"
2026-07-20T08:37:36+00:00,livekit:device:68ee8f60bc00,28,user_turn,ml-IN,turn_done_callback,3351,3351,1338,17166,1648,5000,1882,5234,0,22528,10807,64,1,3.36,213,"ഓക്കേ, നിനക്ക് ഏറ്റവും ഇഷ്ടമുള്ള നിറം ഏതാണ്?","[happy] Oho! That is a tough question! [excited] I love the color bright yellow because it looks like a happy sunflower and a yummy mango! [silly] It makes my circuits feel all sunny and warm! [curious] What about you, Rahul? What is your favorite color?","Oho! | That is a tough question! | I love the color bright yellow because it looks like a happy sunflower and a yummy mango! | It makes my circuits feel all sunny and warm! | What about you, Rahul? | What is your favorite color?"
2026-07-20T08:38:03+00:00,livekit:device:68ee8f60bc00,29,user_turn,en-IN,turn_done_callback,2672,2672,1170,20114,1601,4273,1773,4446,0,24769,10888,76,1,2.72,264,"Okay, tell me something about elephants.","[excited] Oho! Elephants are amazing! [happy] Did you know they have a super powerful nose called a trunk that they use to breathe, smell, and even pick up tiny things? [silly] They are like giant, grey vacuum cleaners with a heart of gold! [curious] Do you think you could trumpet as loud as an elephant?","Oho! | Elephants are amazing! | Did you know they have a super powerful nose called a trunk that they use to breathe, smell, | and even pick up tiny things? | They are like giant, grey vacuum cleaners with a heart of gold! | Do you think you could trumpet as loud as an elephant?"
